,업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적(건물내부+건물외부),건물내부면적,건물외부면적,소재지전화,업태명,동,위도,경도
74,휴게음식점,2012-02-13,지에스(gs)25 화곡영광점내,"서울특별시 강서구 곰달래로 88,",서울특별시 강서구 화곡동 920-1 ,3.3,3.3,0.0,  02-2606-0969,커피숍,화곡동 ,37.5744543,126.8138593
75,휴게음식점,2012-02-13,방화동커피집,"서울특별시 강서구 방화대로 319,",서울특별시 강서구 방화동 867 ,19.26,19.26,0.0,02-1111-1111,커피숍,방화동 ,37.5677465,126.8023922
76,휴게음식점,2012-02-17,지에스25방화동부점,"서울특별시 강서구 방화대로45길 52,",서울특별시 강서구 방화동 448-42 1층 GS25편의점 내 ,3.3,3.3,0.0,  02-2662-6904,커피숍,방화동 ,37.5515234,126.864002
77,휴게음식점,2012-03-08,데이빈,"서울특별시 강서구 하늘길 38,",서울특별시 강서구 방화동 886 ,28.0,28.0,0.0,02-1111-1111,커피숍,방화동 ,37.5560622,126.8424488
78,휴게음식점,2012-03-22,이디야 등촌역점,"서울특별시 강서구 등촌로 217,",서울특별시 강서구 등촌동 509-1 (지상 1층) ,36.0,36.0,0.0,02-1111-1111,커피숍,등촌동 ,37.559803,126.8558032
79,휴게음식점,2012-04-05,카페 넬 비코로(Cafe nel vicolo),"서울특별시 강서구 공항대로42길 16,",서울특별시 강서구 내발산동 650-16 (지상 1층) ,92.56,92.56,0.0, 070-7781-4389,커피숍,내발산동,37.576,126.81837
80,휴게음식점,2012-04-05,카페 르꼼뚜,"서울특별시 강서구 양천로 551-17,",서울특별시 강서구 가양동 449-4 외 2필지 한화비즈메트로1차 (지상 1차) 103호,138.61,138.61,0.0,  02-6957-1155,커피숍,가양동 ,37.5300469,126.8454693
81,휴게음식점,2012-05-07,카페레아(CAFE RHEA),"서울특별시 강서구 방화대로48길 40,","서울특별시 강서구 방화동 839 방화2-1단지 임대상가, 3동 104호",46.96,46.96,0.0,02-1111-1111,커피숍,방화동 ,37.5300469,126.8454693
82,휴게음식점,2012-06-12,서울강서지역자활센터-카페,"서울특별시 강서구 곰달래로 180,",서울특별시 강서구 화곡동 874-9 서울강서지역자활센터 1층 ,16.2,16.2,0.0,  02-2605-1222,커피숍,화곡동 ,37.551736,126.8732382
83,휴게음식점,2012-06-20,카페두드림,"서울특별시 강서구 곰달래로 224,",서울특별시 강서구 화곡동 848-1 (지상 1층) ,33.0,33.0,0.0,  02-2649-8970,커피숍,화곡동 ,37.5707165,126.8154171
84,휴게음식점,2012-06-26,레즐리 컵 LESELY CUP,"서울특별시 강서구 양천로73길 24,",서울특별시 강서구 염창동 306-0 염창힐스테이트 (지상 1층) 상가동 105호,34.2,34.2,0.0,02-1111-1111,커피숍,염창동 ,37.54777165,126.81437227028225
85,휴게음식점,2012-07-05,커피공작소,"서울특별시 강서구 양천로24길 85,",서울특별시 강서구 방화동 251-5 (지상 1층) ,61.2,61.2,0.0,  02-2667-0910,커피숍,방화동 ,37.5508352,126.8352338
86,휴게음식점,2012-08-03,대한항공OC빌딩 스카이카페,"서울특별시 강서구 하늘길 260,",서울특별시 강서구 공항동 1370-0 외 14필지 항공기정비공장 (지상 4층) ,14.4,14.4,0.0,  02-2064-0207,커피숍,공항동 ,37.5551091,126.8398241
87,휴게음식점,2012-08-21,카페헤세드,"서울특별시 강서구 강서로 499,",서울특별시 강서구 가양동 187-13 대하빌딩 (지상 1층) 103~104호,120.0,120.0,0.0,  02-3663-4991,커피숍,가양동 ,37.5318519,126.8453269
88,휴게음식점,2012-08-30,융드립커피,"서울특별시 강서구 우장산로 4,",서울특별시 강서구 내발산동 669-6 (지상 1층) ,23.0,23.0,0.0,02-1111-1111,커피숍,내발산동,37.545025,126.8411698
89,휴게음식점,2012-09-03,스타벅스커피 까치산역점,"서울특별시 강서구 강서로13길 3,",서울특별시 강서구 화곡동 343-1 외 1필지 동진빌딩 (지하 1층~지상 1층) ,323.49,323.49,0.0,  02- 758-8538,커피숍,화곡동 ,37.55734595,126.8375080312558
90,휴게음식점,2012-10-24,커피왓수다,"서울특별시 강서구 화곡로31길 67,",서울특별시 강서구 화곡동 1030-11 지상1층 ,26.42,26.42,0.0,02-1111-1111,커피숍,화곡동 ,37.5611331,126.8122158
91,휴게음식점,2012-11-02,카페말로(내발산점),"서울특별시 강서구 강서로 353,",서울특별시 강서구 내발산동 654-3 학성빌딩 (지상 1층) 104호,60.0,60.0,0.0,02-1111-1111,커피숍,내발산동,37.5628697,126.85069108990254
92,휴게음식점,2012-11-06,커피더캠프 KBS스포츠 월드컵,"서울특별시 강서구 공항대로 383,",서울특별시 강서구 등촌동 660-11 MAXOUT휘트니스 (지상 1층) 2호,115.0,115.0,0.0, 070-7796-7266,커피숍,등촌동 ,37.5624805,126.8102574
93,휴게음식점,2012-11-08,(강서)카페치따,"서울특별시 강서구 양천로 452,",서울특별시 강서구 등촌동 63-12 외 2필지 어위쉬예다인 (지상 1층) 104호,64.17,64.17,0.0,  02-3661-3354,커피숍,등촌동 ,37.5702422,126.8119273
94,휴게음식점,2012-11-13,카페 101,"서울특별시 강서구 공항대로3길 33,",서울특별시 강서구 공항동 45-8 (지상 1층) ,85.32,85.32,0.0, 070-8888-1844,커피숍,공항동 ,37.5581635,126.8034678
95,휴게음식점,2012-11-20,버블베어,"서울특별시 강서구 금낭화로 167,",서울특별시 강서구 방화동 819-0 1층 103호,39.97,39.97,0.0,  02-2696-9984,커피숍,방화동 ,37.5784792,126.814641
96,휴게음식점,2012-11-20,엔제리너스 김포공항1층점,"서울특별시 강서구 하늘길 112,",서울특별시 강서구 공항동 1373-0 국내선청사 (지상 1층) ,301.0,301.0,0.0,  02-2667-0108,커피숍,공항동 ,37.5583915,126.8467553
97,휴게음식점,2012-12-21,목 카페,"서울특별시 강서구 금낭화로24길 29-5,",서울특별시 강서구 방화동 345-9 (지상 1층) ,90.72,90.72,0.0,02-1111-1111,커피숍,방화동 ,37.5414946,126.8374399
98,휴게음식점,2012-02-22,까페일루시온,"서울특별시 강서구 화곡로61길 31,",서울특별시 강서구 등촌동 660-9 (지상 1층) ,69.0,69.0,0.0,02-1111-1111,커피숍,등촌동 ,37.559803,126.8558032
99,휴게음식점,2013-01-08,밀알카페,"서울특별시 강서구 강서로33길 16,",서울특별시 강서구 화곡동 1050-31 1층 ,5.0,5.0,0.0,02-1111-1111,커피숍,화곡동 ,37.556247,126.8564946
100,,,,,,,,,,,,37.5546086,126.8592392
101,휴게음식점,2013-01-18,엔카페,"서울특별시 강서구 양천로 476,",서울특별시 강서구 등촌동 73-1 금부빌딩 (지상 2층) ,19.6,19.6,0.0,  02-3663-6127,커피숍,등촌동 ,37.5300469,126.8454693
102,휴게음식점,2013-01-22,브이커피,"서울특별시 강서구 화곡로64길 98,","서울특별시 강서구 등촌동 653-5 1층, 1동 ",33.0,33.0,0.0, 070-8290-7302,커피숍,등촌동 ,37.5702422,126.8119273
103,휴게음식점,2013-02-26,커피드림,"서울특별시 강서구 공항대로53가길 6,",서울특별시 강서구 등촌동 643-73 (지상 1층) ,29.7,29.7,0.0,  02-2658-5030,커피숍,등촌동 ,37.550702650000005,126.87195435272861
104,휴게음식점,2013-02-28,커피볶는 곤이네집,"서울특별시 강서구 곰달래로 116-1,",서울특별시 강서구 화곡동 899-29 엠타워 (지상 1층) 101호,126.18,126.18,0.0,  02-2601-1807,커피숍,화곡동 ,37.55132805,126.8343448544824
105,휴게음식점,2013-03-08,이디야커피방화역점,"서울특별시 강서구 금낭화로 146,",서울특별시 강서구 방화동 830 오피앙(지상 1층) 115~116호 ,53.16,53.16,0.0,  02-2661-5350,커피숍,방화동 ,37.5621675,126.83979824498618
106,휴게음식점,2013-03-13,이디야커피,"서울특별시 강서구 양천로 684,",서울특별시 강서구 염창동 264-37 1층 ,49.5,49.5,0.0,02-1111-1111,커피숍,염창동 ,37.5630967,126.8093859
107,휴게음식점,2013-04-02,발음북카페,"서울특별시 강서구 강서로47다길 35,",서울특별시 강서구 내발산동 709-8 1층 ,78.13,78.13,0.0,  02-2666-1376,커피숍,내발산동,37.5551091,126.8398241
108,휴게음식점,2013-04-09,엘가(Lga),"서울특별시 강서구 강서로 412,",서울특별시 강서구 등촌동 680-5 영광빌딩 (지상 1층) 102호,49.5,49.5,0.0,02-1111-1111,커피숍,등촌동 ,37.5508352,126.8352338
109,휴게음식점,2013-04-11,이디야커피,"서울특별시 강서구 방화동로 37,",서울특별시 강서구 방화동 614-34 101호,50.54,50.54,0.0,  02-2666-1311,커피숍,방화동 ,37.5525036,126.8383018
110,휴게음식점,2013-05-07,쑤앤쑤,"서울특별시 강서구 우장산로 4,",서울특별시 강서구 내발산동 669-6 (지상3층) ,73.85,73.85,0.0,  02-2661-1261,커피숍,내발산동,37.5577022,126.8402191
111,휴게음식점,2013-05-08,씨앤에프(C&F by Jung),"서울특별시 강서구 강서로 202,",서울특별시 강서구 화곡동 1031-0 1층 ,30.0,30.0,0.0,  02-2602-5519,커피숍,화곡동 ,37.5504764,126.8763344
112,휴게음식점,2013-05-08,카페원데이,"서울특별시 강서구 강서로48길 6,",서울특별시 강서구 내발산동 702-1 1층 ,47.67,47.67,0.0,  02-2658-9670,커피숍,내발산동,37.5395805,126.8580043
113,휴게음식점,2013-05-15,카페드아야,"서울특별시 강서구 강서로52길 13,",서울특별시 강서구 내발산동 646-2 1층 ,53.33,53.33,0.0,02-1111-1111,커피숍,내발산동,37.559803,126.8558032
114,휴게음식점,2013-05-16,카페 이브닝,"서울특별시 강서구 양천로75길 57,",서울특별시 강서구 염창동 288-0 현대1차 상가동 108호,15.29,15.29,0.0,  02-3664-2873,커피숍,염창동 ,37.5827547,126.8072145
